citeulike_paper_id	author
42	arita, masanori
43	csete, marie e.
43	doyle, john c.
44	strogatz, steven h.
46	von mering, christian
46	krause, roland
46	snel, berend
46	cornell, michael
46	oliver, stephen g.
46	fields, stanley
46	bork, peer
47	kleinberg, jon m.
48	newman, m. e.
48	strogatz, s. h.
48	watts, d. j.
49	mendes, pedro
49	sha, wei
49	ye, keying
50	von dassow, george
50	meir, eli
50	munro, edwin m.
50	odell, garrett m.
52	lenski, richard e.
52	ofria, charles
52	pennock, robert t.
52	adami, christoph
60	kuhl, patricia k.
61	sporns, o.
61	chialvo, d.
61	kaiser, m.
61	hilgetag, c.
62	sporns, olaf
62	k\\"{o}tter, rolf
97	simonsen, ingve
97	eriksen, kasper a.
97	maslov, sergei
97	sneppen, kim
98	kashtan, n.
98	itzkovitz, s.
98	milo, r.
98	alon, u.
99	watts, duncan j.
99	strogatz, steven h.
101	milo, r.
101	shen-orr, s.
101	itzkovitz, s.
101	kashtan, n.
101	chklovskii, d.
101	alon, u.
102	kleinberg, jon m.
114	brin, sergey
114	page, lawrence
122	goh, k. i.
122	kahng, b.
122	kim, d.
123	chung, fan
123	lu, linyuan
123	vu, van
124	hughes, t. r.
124	marton, m. j.
124	jones, a. r.
124	roberts, c. j.
124	stoughton, r.
124	armour, c. d.
124	bennett, h. a.
124	coffey, e.
124	dai, h.
124	he, y. d.
124	kidd, m. j.
124	king, a. m.
124	meyer, m. r.
124	slade, d.
124	lum, p. y.
124	stepaniants, s. b.
124	shoemaker, d. d.
124	gachotte, d.
124	chakraburtty, k.
124	simon, j.
124	bard, m.
124	friend, s. h.
127	menczer, filippo
128	newman, m. e. j.
129	amaral, l. a. n.
129	scala, a.
129	barth\\'{e}l\\'{e}my, m.
129	stanley, h. e.
139	farkas, i. j.
139	der\\'{e}nyi, i.
139	barab\\'{a}si, a. l.
139	vicsek, t.
148	ozbudak, ertugrul m.
148	thattai, mukund
148	lim, han n.
148	shraiman, boris i.
148	van oudenaarden, alexander
151	spirin, victor
151	mirny, leonid a.
154	newman, m. e. j.
154	girvan, m.
155	newman, m. e. j.
156	barnard, kobus
156	duygulu, pinar
156	forsyth, david
156	nando, n. d. f.
156	blei, david m. b.
156	jordan, michael i. j.
175	foote, jonathan
186	you, lingchong
186	cox, robert sidney s.
186	weiss, ron
186	arnold, frances h.
205	luff, paul
205	heath, christian
214	riva, g.
223	nelson, d. e.
223	ihekwaba, a. e. c.
223	elliott, m.
223	johnson, j. r.
223	gibney, c. a.
223	foreman, b. e.
223	nelson, g.
223	see, v.
223	horton, c. a.
223	spiller, d. g.
223	edwards, s. w.
223	mcdowell, h. p.
223	unitt, j. f.
223	sullivan, e.
223	grimley, r.
223	benson, n.
223	broomhead, d.
223	kell, d. b.
223	white, m. r. h.
226	bulter, thomas
226	lee, sun-gu
226	wong, wilson w.
226	fung, eileen
226	connor, michael r.
226	liao, james c.
230	sutton, charles
230	rohanimanesh, khashayar
230	mccallum, andrew
231	aharony, o.
231	gubser, s. s.
231	maldacena, j.
231	ooguri, h.
231	oz, y.
238	jeong, h.
238	tombor, b.
238	albert, r.
238	oltvai, z. n.
238	barabasi, a. l.
239	yook, soon-hyung
239	oltvai, zolt\\'{a}n n.
239	barab\\'{a}si, albert-l\\'{a}szl\\'{o}
242	achard, f.
242	vaysseix, g.
242	barillot, e.
248	kitano, hiroaki
249	kitano, hiroaki
260	juan-j, j.
260	prieto, beatriz
260	rateb, fatima
260	tricas, fernando
263	tamminen, sakari
263	oulasvirta, antti
263	toiskallio, kalle
263	kankainen, anu
267	bollob\\'{a}s, b.
267	riordan, o.
268	barabasi, albert-laszlo
268	oltvai, zoltan n.
270	cancho, ramon f.
270	sol\\'{e}, richard v.
271	kell, d. b.
272	luscombe, nicholas m.
272	madan babu, m.
272	yu, haiyuan
272	snyder, michael
272	teichmann, sarah a.
272	gerstein, mark
280	de menezes, m. a.
280	barab\\'{a}si, a. l.
281	newman, m. e. j.
282	middendorf, manuel
282	ziv, etay
282	wiggins, chris
289	goodacre, royston
289	vaidyanathan, seetharaman
289	dunn, warwick b.
289	harrigan, george g.
289	kell, douglas b.
292	king, ross d.
292	whelan, kenneth e.
292	jones, ffion m.
292	reiser, philip g. k.
292	bryant, christopher h.
292	muggleton, stephen h.
292	kell, douglas b.
292	oliver, stephen g.
293	kell, douglas b.
293	oliver, stephen g.
296	allen, j.
296	davey, h. m.
296	broadhurst, d.
296	heald, j. k.
296	rowland, j. j.
296	oliver, s. g.
296	kell, d. b.
297	taylor, c. f.
297	paton, n. w.
297	garwood, k. l.
297	kirby, p. d.
297	stead, d. a.
297	yin, z.
297	deutsch, e. w.
297	selway, l.
297	walker, j.
297	riba-garcia, i.
297	mohammed, s.
297	deery, m. j.
297	howard, j. a.
297	dunkley, t.
297	aebersold, r.
297	kell, d. b.
297	lilley, k. s.
297	roepstorff, p.
297	yates, j. r.
297	brass, a.
297	brown, a. j.
297	cash, p.
297	gaskell, s. j.
297	hubbard, s. j.
297	oliver, s. g.
306	pritchard, l.
306	kell, d. b.
309	wolf, denise m.
309	arkin, adam p.
310	tyson, john j.
310	chen, kathy
310	novak, bela
311	elowitz, m. b.
311	leibler, s.
312	gardner, timothy s.
312	cantor, charles r.
312	collins, james j.
314	becskei, a.
314	serrano, l.
326	raamsdonk, l. m.
326	teusink, b.
326	broadhurst, d.
326	zhang, n.
326	hayes, a.
326	walsh, m. c.
326	berden, j. a.
326	brindle, k. m.
326	kell, d. b.
326	rowland, j. j.
326	westerhoff, h. v.
326	van dam, k.
326	oliver, s. g.
431	wu, harris
431	gordon, michael d. g.
431	demaagd, kurt
444	gibson, david
444	kleinberg, jon m. k.
444	raghavan, prabhakar
446	wexelblat, alan
446	maes, pattie
448	pirolli, p.
448	card, s.
449	jaakkola, t.
449	haussler, d.
457	ziegler, cai-nicolas
457	lausen, georg
459	spellman, p. t.
459	miller, m.
459	stewart, j.
459	troup, c.
459	sarkans, u.
459	chervitz, s.
459	bernhart, d.
459	sherlock, g.
459	ball, c.
459	lepage, m.
459	swiatek, m.
459	marks, w. l.
459	goncalves, j.
459	markel, s.
459	iordan, d.
459	shojatalab, m.
459	pizarro, a.
459	white, j.
459	hubley, r.
459	deutsch, e.
459	senger, m.
459	aronow, b. j.
459	robinson, a.
459	bassett, d.
459	stoeckert, c. j.
459	brazma, a.
482	holme, petter
487	tallman, irving
487	leik, robert k.
487	gray, louis n.
487	stafford, mark c.
490	von hippel, eric v.
491	gruhl, daniel
491	guha, r.
491	nowell, david l.
491	tomkins, andrew
492	goldstein, michel l.
492	morris, steven a.
492	yen, gary g.
494	dorogovtsev, s. n.
494	mendes, j. f. f.
496	zimmermann, martin g.
496	eguiluz, victor m.
496	san miguel, maxi s.
500	itzkovitz, shalev
500	levitt, reuven
500	kashtan, nadav
500	milo, ron
500	itzkovitz, michael
500	alon, uri
501	mewes, h. w.
501	heumann, k.
501	kaps, a.
501	mayer, k.
501	pfeiffer, f.
501	stocker, s.
501	frishman, d.
509	mewes, h. w.
509	amid, c.
509	arnold, r.
509	frishman, d.
509	g\\~{a}¼ldener, u.
509	mannhaupt, g.
509	m\\~{a}¼nsterk\\~{a}{\\p}tter, m.
509	pagel, p.
509	strack, n.
509	st\\~{a}¼mpflen, v.
509	warfsmann, j.
509	ruepp, a.
514	ramos, vitorino
514	abraham, ajith
516	volz, erik
525	park, juyong
525	newman, m. e. j.
538	cook, scott d. n.
538	brown, john s.
540	cherry, j. michael
540	adler, caroline
540	ball, catherine
540	chervitz, stephen a.
540	dwight, selina s.
540	hester, erich t.
540	jia, yankai
540	juvik, gail
540	roe, taiyun
540	schroeder, mark
540	weng, shuai
540	botstein, david
548	milo, r.
548	kashtan, n.
548	itzkovitz, s.
548	newman, m. e. j.
548	alon, u.
